Date,Year,Month,Region,Product,Channel,Customer_Segment,Units_Sold,Revenue_USD
2023-07-01,2023,7,North America,Credit Card,Partner/Broker,Retail,1269,88141.43
2023-08-01,2023,8,North America,Credit Card,Web Platform,SME,1033,69182.78
2023-09-01,2023,9,North America,Credit Card,Branch (Assisted),Private/HNW,1104,72942.02
2023-10-01,2023,10,North America,Credit Card,Mobile App,Private/HNW,1385,84633.32
2023-11-01,2023,11,North America,Credit Card,Partner/Broker,Retail,1708,115959.46
2023-12-01,2023,12,North America,Credit Card,Web Platform,Retail,1521,95653.04
2024-01-01,2024,1,North America,Credit Card,Web Platform,Retail,1051,70922.22
2024-02-01,2024,2,North America,Credit Card,Web Platform,Retail,1153,76626.1
2024-03-01,2024,3,North America,Credit Card,Partner/Broker,SME,1225,80852.46
2024-04-01,2024,4,North America,Credit Card,Web Platform,Retail,1299,78173.96
2024-05-01,2024,5,North America,Credit Card,Partner/Broker,Mass Affluent,1275,86647.4
2024-06-01,2024,6,North America,Credit Card,Mobile App,SME,1345,84805.52
2024-07-01,2024,7,North America,Credit Card,Partner/Broker,Retail,1112,78246.85
2024-08-01,2024,8,North America,Credit Card,Mobile App,SME,1139,75919.67
2024-09-01,2024,9,North America,Credit Card,Web Platform,Retail,1462,95589.03
2024-10-01,2024,10,North America,Credit Card,Partner/Broker,Retail,1216,74791.98
2024-11-01,2024,11,North America,Credit Card,Mobile App,Retail,1921,128914.46
2024-12-01,2024,12,North America,Credit Card,Mobile App,Mass Affluent,1724,110639.68
2025-01-01,2025,1,North America,Credit Card,Mobile App,Private/HNW,1253,79577.39
2025-02-01,2025,2,North America,Credit Card,Branch (Assisted),Retail,1163,75713.44
2025-03-01,2025,3,North America,Credit Card,Mobile App,Retail,1473,102410.18
2025-04-01,2025,4,North America,Credit Card,Mobile App,Retail,1442,92877.98
2025-05-01,2025,5,North America,Credit Card,Mobile App,Mass Affluent,1361,88545.6
2025-06-01,2025,6,North America,Credit Card,Mobile App,Private/HNW,1494,99901.16
2025-07-01,2025,7,North America,Credit Card,Web Platform,Mass Affluent,1501,95539.01
2025-08-01,2025,8,North America,Credit Card,Mobile App,Mass Affluent,1582,107648.18
2025-09-01,2025,9,North America,Credit Card,Mobile App,Retail,1485,97622.72
2025-10-01,2025,10,North America,Credit Card,Mobile App,SME,1727,112341.94
2025-11-01,2025,11,North America,Credit Card,Mobile App,Retail,2360,149790.42
2025-12-01,2025,12,North America,Credit Card,Branch (Assisted),Retail,2134,137434.96
2023-01-01,2023,1,North America,Mortgage,Mobile App,Mass Affluent,55,71433.4
2023-02-01,2023,2,North America,Mortgage,Branch (Assisted),Retail,67,80413.35
2023-03-01,2023,3,North America,Mortgage,Mobile App,Mass Affluent,78,100674.29
2023-04-01,2023,4,North America,Mortgage,Partner/Broker,Retail,80,101508.23
2023-05-01,2023,5,North America,Mortgage,Partner/Broker,Retail,105,131578.53
2023-06-01,2023,6,North America,Mortgage,Partner/Broker,Retail,91,116657.96
2023-07-01,2023,7,North America,Mortgage,Partner/Broker,SME,77,93463.04
2023-08-01,2023,8,North America,Mortgage,Web Platform,Retail,71,87238.43
2023-09-01,2023,9,North America,Mortgage,Mobile App,Retail,72,82359.54
2023-10-01,2023,10,North America,Mortgage,Web Platform,Mass Affluent,65,80525.41
2023-11-01,2023,11,North America,Mortgage,Web Platform,Retail,80,95594.0
2023-12-01,2023,12,North America,Mortgage,Mobile App,SME,65,81150.85
2024-01-01,2024,1,North America,Mortgage,Branch (Assisted),SME,61,79380.43
2024-02-01,2024,2,North America,Mortgage,Web Platform,SME,91,113788.34
2024-03-01,2024,3,North America,Mortgage,Web Platform,Retail,83,103028.63
2024-04-01,2024,4,North America,Mortgage,Partner/Broker,Retail,114,141654.88
2024-05-01,2024,5,North America,Mortgage,Branch (Assisted),Retail,96,112811.58
2024-06-01,2024,6,North America,Mortgage,Web Platform,Mass Affluent,102,121397.22
2024-07-01,2024,7,North America,Mortgage,Web Platform,SME,78,95103.53
2024-08-01,2024,8,North America,Mortgage,Web Platform,Mass Affluent,80,101217.23
2024-09-01,2024,9,North America,Mortgage,Web Platform,Private/HNW,80,95363.25
2024-10-01,2024,10,North America,Mortgage,Mobile App,Mass Affluent,75,98141.25
2024-11-01,2024,11,North America,Mortgage,Mobile App,Retail,86,108495.28
2024-12-01,2024,12,North America,Mortgage,Mobile App,SME,73,85997.33
2025-01-01,2025,1,North America,Mortgage,Mobile App,SME,71,88268.46
2025-02-01,2025,2,North America,Mortgage,Mobile App,Retail,80,97415.29
2025-03-01,2025,3,North America,Mortgage,Mobile App,SME,95,122416.89
2025-04-01,2025,4,North America,Mortgage,Mobile App,Retail,146,196969.95
2025-05-01,2025,5,North America,Mortgage,Web Platform,Retail,121,151688.67
2025-06-01,2025,6,North America,Mortgage,Mobile App,Retail,121,146496.45
2025-07-01,2025,7,North America,Mortgage,Web Platform,Retail,101,131327.01
2025-08-01,2025,8,North America,Mortgage,Branch (Assisted),SME,92,111381.61
2025-09-01,2025,9,North America,Mortgage,Mobile App,SME,94,107095.75
2025-10-01,2025,10,North America,Mortgage,Partner/Broker,Retail,100,133895.13
2025-11-01,2025,11,North America,Mortgage,Web Platform,Retail,100,119051.25
2025-12-01,2025,12,North America,Mortgage,Web Platform,Mass Affluent,81,103435.94
2023-01-01,2023,1,North America,SME Business Loan,Web Platform,Retail,107,91621.36
2023-02-01,2023,2,North America,SME Business Loan,Mobile App,Private/HNW,110,97213.67
2023-03-01,2023,3,North America,SME Business Loan,Branch (Assisted),Mass Affluent,113,103739.16
2023-04-01,2023,4,North America,SME Business Loan,Web Platform,Retail,105,92376.6
2023-05-01,2023,5,North America,SME Business Loan,Web Platform,SME,114,103447.89
2023-06-01,2023,6,North America,SME Business Loan,Web Platform,Retail,115,105574.78
2023-07-01,2023,7,North America,SME Business Loan,Mobile App,Retail,118,98221.98
2023-08-01,2023,8,North America,SME Business Loan,Mobile App,Mass Affluent,131,113306.47
2023-09-01,2023,9,North America,SME Business Loan,Partner/Broker,Retail,129,120836.43
2023-10-01,2023,10,North America,SME Business Loan,Branch (Assisted),Retail,113,94413.51
2023-11-01,2023,11,North America,SME Business Loan,Mobile App,Retail,118,102442.71
2023-12-01,2023,12,North America,SME Business Loan,Mobile App,Retail,128,101336.32
2024-01-01,2024,1,North America,SME Business Loan,Mobile App,Retail,128,110565.06
2024-02-01,2024,2,North America,SME Business Loan,Mobile App,Retail,111,98738.14
2024-03-01,2024,3,North America,SME Business Loan,Branch (Assisted),Retail,120,110697.19
2024-04-01,2024,4,North America,SME Business Loan,Partner/Broker,Mass Affluent,134,115414.34
2024-05-01,2024,5,North America,SME Business Loan,Partner/Broker,Retail,133,116482.27
2024-06-01,2024,6,North America,SME Business Loan,Mobile App,Mass Affluent,155,133369.36
2024-07-01,2024,7,North America,SME Business Loan,Web Platform,Retail,141,127690.16
2024-08-01,2024,8,North America,SME Business Loan,Web Platform,Private/HNW,128,109417.04
2024-09-01,2024,9,North America,SME Business Loan,Partner/Broker,Retail,135,116671.1
2024-10-01,2024,10,North America,SME Business Loan,Partner/Broker,Retail,158,124736.52
2024-11-01,2024,11,North America,SME Business Loan,Mobile App,Retail,139,122002.13
2024-12-01,2024,12,North America,SME Business Loan,Mobile App,SME,149,138316.27
2025-01-01,2025,1,North America,SME Business Loan,Web Platform,Private/HNW,143,126048.01
2025-02-01,2025,2,North America,SME Business Loan,Web Platform,Retail,136,121963.16
2025-03-01,2025,3,North America,SME Business Loan,Mobile App,SME,159,134839.2
2025-04-01,2025,4,North America,SME Business Loan,Partner/Broker,Retail,159,146627.67
2025-05-01,2025,5,North America,SME Business Loan,Mobile App,Retail,143,123996.57
2025-06-01,2025,6,North America,SME Business Loan,Mobile App,Mass Affluent,146,130742.22
2025-07-01,2025,7,North America,SME Business Loan,Mobile App,Mass Affluent,144,132080.14
2025-08-01,2025,8,North America,SME Business Loan,Web Platform,Mass Affluent,136,124544.7
2025-09-01,2025,9,North America,SME Business Loan,Partner/Broker,Retail,139,125030.04
2025-10-01,2025,10,North America,SME Business Loan,Mobile App,Mass Affluent,176,144883.69
2025-11-01,2025,11,North America,SME Business Loan,Mobile App,Retail,148,134344.91
2025-12-01,2025,12,North America,SME Business Loan,Web Platform,Mass Affluent,144,129682.26
2023-01-01,2023,1,North America,Robo-Advisory Investment,Mobile App,Retail,464,90504.97
2023-02-01,2023,2,North America,Robo-Advisory Investment,Mobile App,Retail,569,118297.56
2023-03-01,2023,3,North America,Robo-Advisory Investment,Web Platform,Retail,333,68990.58
2023-04-01,2023,4,North America,Robo-Advisory Investment,Partner/Broker,SME,346,70385.5
2023-05-01,2023,5,North America,Robo-Advisory Investment,Partner/Broker,Mass Affluent,412,84831.75
2023-06-01,2023,6,North America,Robo-Advisory Investment,Mobile App,Retail,393,83374.13
2023-07-01,2023,7,North America,Robo-Advisory Investment,Web Platform,Mass Affluent,386,77222.5
2023-08-01,2023,8,North America,Robo-Advisory Investment,Mobile App,Retail,353,73176.29
2023-09-01,2023,9,North America,Robo-Advisory Investment,Mobile App,Private/HNW,419,82906.19
2023-10-01,2023,10,North America,Robo-Advisory Investment,Partner/Broker,Retail,335,71301.28
2023-11-01,2023,11,North America,Robo-Advisory Investment,Mobile App,SME,412,85893.43
2023-12-01,2023,12,North America,Robo-Advisory Investment,Web Platform,Retail,404,82020.73
2024-01-01,2024,1,North America,Robo-Advisory Investment,Web Platform,Retail,595,115243.98
2024-02-01,2024,2,North America,Robo-Advisory Investment,Mobile App,Retail,625,127753.71
2024-03-01,2024,3,North America,Robo-Advisory Investment,Web Platform,Mass Affluent,499,106781.52
2024-04-01,2024,4,North America,Robo-Advisory Investment,Partner/Broker,Retail,451,97013.66
2024-05-01,2024,5,North America,Robo-Advisory Investment,Mobile App,Retail,427,94320.56
2024-06-01,2024,6,North America,Robo-Advisory Investment,Mobile App,SME,452,99778.56
2024-07-01,2024,7,North America,Robo-Advisory Investment,Web Platform,SME,430,88500.41
2024-08-01,2024,8,North America,Robo-Advisory Investment,Partner/Broker,Retail,483,102653.43
2024-09-01,2024,9,North America,Robo-Advisory Investment,Partner/Broker,Retail,502,107874.01
2024-10-01,2024,10,North America,Robo-Advisory Investment,Mobile App,Retail,435,94143.63
2024-11-01,2024,11,North America,Robo-Advisory Investment,Web Platform,SME,474,100885.5
2024-12-01,2024,12,North America,Robo-Advisory Investment,Web Platform,Retail,459,91994.85
2025-01-01,2025,1,North America,Robo-Advisory Investment,Web Platform,SME,673,134678.22
2025-02-01,2025,2,North America,Robo-Advisory Investment,Partner/Broker,SME,641,143539.62
2025-03-01,2025,3,North America,Robo-Advisory Investment,Web Platform,Retail,465,101396.52
2025-04-01,2025,4,North America,Robo-Advisory Investment,Web Platform,Mass Affluent,461,96304.42
2025-05-01,2025,5,North America,Robo-Advisory Investment,Mobile App,Retail,481,103950.52
2025-06-01,2025,6,North America,Robo-Advisory Investment,Branch (Assisted),Retail,521,103348.66
2025-07-01,2025,7,North America,Robo-Advisory Investment,Web Platform,Retail,517,111484.02
2025-08-01,2025,8,North America,Robo-Advisory Investment,Mobile App,Retail,447,99274.37
2025-09-01,2025,9,North America,Robo-Advisory Investment,Mobile App,SME,554,115675.74
2025-10-01,2025,10,North America,Robo-Advisory Investment,Partner/Broker,Retail,488,96772.04
2025-11-01,2025,11,North America,Robo-Advisory Investment,Mobile App,Retail,526,114367.09
2025-12-01,2025,12,North America,Robo-Advisory Investment,Web Platform,Private/HNW,503,108049.24
2023-01-01,2023,1,North America,Fixed Deposit / Savings Plan,Partner/Broker,Retail,652,61564.9
2023-02-01,2023,2,North America,Fixed Deposit / Savings Plan,Web Platform,SME,598,57225.12
2023-03-01,2023,3,North America,Fixed Deposit / Savings Plan,Web Platform,SME,671,62198.08
2023-04-01,2023,4,North America,Fixed Deposit / Savings Plan,Web Platform,SME,583,53050.31
2023-05-01,2023,5,North America,Fixed Deposit / Savings Plan,Web Platform,Private/HNW,635,57232.12
2023-06-01,2023,6,North America,Fixed Deposit / Savings Plan,Web Platform,Retail,620,55385.96
2023-07-01,2023,7,North America,Fixed Deposit / Savings Plan,Mobile App,Retail,680,64789.0
2023-08-01,2023,8,North America,Fixed Deposit / Savings Plan,Branch (Assisted),SME,673,61294.4
2023-09-01,2023,9,North America,Fixed Deposit / Savings Plan,Web Platform,Mass Affluent,641,58403.0
2023-10-01,2023,10,North America,Fixed Deposit / Savings Plan,Partner/Broker,Retail,650,54339.22
2023-11-01,2023,11,North America,Fixed Deposit / Savings Plan,Mobile App,Mass Affluent,690,67199.6
2023-12-01,2023,12,North America,Fixed Deposit / Savings Plan,Mobile App,SME,664,61962.46
2024-01-01,2024,1,North America,Fixed Deposit / Savings Plan,Mobile App,SME,702,64220.48
2024-02-01,2024,2,North America,Fixed Deposit / Savings Plan,Branch (Assisted),Retail,737,68624.09
2024-03-01,2024,3,North America,Fixed Deposit / Savings Plan,Partner/Broker,Retail,790,69955.65
2024-04-01,2024,4,North America,Fixed Deposit / Savings Plan,Partner/Broker,Retail,790,76725.58
2024-05-01,2024,5,North America,Fixed Deposit / Savings Plan,Mobile App,Retail,751,75036.21
2024-06-01,2024,6,North America,Fixed Deposit / Savings Plan,Partner/Broker,SME,821,84747.1
2024-07-01,2024,7,North America,Fixed Deposit / Savings Plan,Partner/Broker,Retail,727,65404.09
2024-08-01,2024,8,North America,Fixed Deposit / Savings Plan,Web Platform,Retail,651,60619.66
2024-09-01,2024,9,North America,Fixed Deposit / Savings Plan,Partner/Broker,Retail,827,74659.59
2024-10-01,2024,10,North America,Fixed Deposit / Savings Plan,Mobile App,Retail,776,70065.71
2024-11-01,2024,11,North America,Fixed Deposit / Savings Plan,Mobile App,Retail,839,77326.21
2024-12-01,2024,12,North America,Fixed Deposit / Savings Plan,Mobile App,Retail,866,85123.22
2025-01-01,2025,1,North America,Fixed Deposit / Savings Plan,Mobile App,SME,858,81997.19
2025-02-01,2025,2,North America,Fixed Deposit / Savings Plan,Web Platform,Retail,875,80214.54
2025-03-01,2025,3,North America,Fixed Deposit / Savings Plan,Mobile App,Retail,853,87832.62
2025-04-01,2025,4,North America,Fixed Deposit / Savings Plan,Mobile App,Retail,976,93314.29
2025-05-01,2025,5,North America,Fixed Deposit / Savings Plan,Mobile App,Retail,776,78080.31
2025-06-01,2025,6,North America,Fixed Deposit / Savings Plan,Partner/Broker,Retail,818,82583.55
2025-07-01,2025,7,North America,Fixed Deposit / Savings Plan,Web Platform,Retail,881,84496.01
2025-08-01,2025,8,North America,Fixed Deposit / Savings Plan,Mobile App,Retail,984,93284.87
2025-09-01,2025,9,North America,Fixed Deposit / Savings Plan,Web Platform,Retail,895,84099.98
2025-10-01,2025,10,North America,Fixed Deposit / Savings Plan,Mobile App,Private/HNW,786,77004.14
2025-11-01,2025,11,North America,Fixed Deposit / Savings Plan,Web Platform,Retail,918,90440.76
2025-12-01,2025,12,North America,Fixed Deposit / Savings Plan,Mobile App,Mass Affluent,915,83968.74
2023-01-01,2023,1,North America,Wealth Management (HNW),Mobile App,Retail,15,47813.53
2023-02-01,2023,2,North America,Wealth Management (HNW),Partner/Broker,Retail,16,55377.65
2023-03-01,2023,3,North America,Wealth Management (HNW),Partner/Broker,Retail,17,56866.19
2023-04-01,2023,4,North America,Wealth Management (HNW),Web Platform,Private/HNW,16,53295.95
2023-05-01,2023,5,North America,Wealth Management (HNW),Mobile App,SME,16,56238.55
2023-06-01,2023,6,North America,Wealth Management (HNW),Web Platform,Private/HNW,15,51892.44
2023-07-01,2023,7,North America,Wealth Management (HNW),Partner/Broker,Retail,17,55872.98
2023-08-01,2023,8,North America,Wealth Management (HNW),Partner/Broker,Retail,17,57465.43
2023-09-01,2023,9,North America,Wealth Management (HNW),Partner/Broker,SME,18,59358.1
2023-10-01,2023,10,North America,Wealth Management (HNW),Mobile App,Retail,19,64262.41
2023-11-01,2023,11,North America,Wealth Management (HNW),Mobile App,Retail,19,59081.11
2023-12-01,2023,12,North America,Wealth Management (HNW),Mobile App,Retail,19,64598.42
2024-01-01,2024,1,North America,Wealth Management (HNW),Mobile App,SME,17,58046.48
2024-02-01,2024,2,North America,Wealth Management (HNW),Mobile App,SME,18,60685.6
2024-03-01,2024,3,North America,Wealth Management (HNW),Mobile App,Mass Affluent,19,68782.38
2024-04-01,2024,4,North America,Wealth Management (HNW),Mobile App,Mass Affluent,20,65954.49
2024-05-01,2024,5,North America,Wealth Management (HNW),Web Platform,SME,19,68615.63
2024-06-01,2024,6,North America,Wealth Management (HNW),Web Platform,Retail,20,73300.23
2024-07-01,2024,7,North America,Wealth Management (HNW),Web Platform,Private/HNW,22,73326.38
2024-08-01,2024,8,North America,Wealth Management (HNW),Partner/Broker,Retail,17,58600.23
2024-09-01,2024,9,North America,Wealth Management (HNW),Partner/Broker,Retail,23,80339.21
2024-10-01,2024,10,North America,Wealth Management (HNW),Mobile App,Retail,21,74321.63
2024-11-01,2024,11,North America,Wealth Management (HNW),Branch (Assisted),Retail,17,59203.58
2024-12-01,2024,12,North America,Wealth Management (HNW),Web Platform,Retail,21,69571.77
2025-01-01,2025,1,North America,Wealth Management (HNW),Mobile App,Retail,20,66443.64
2025-02-01,2025,2,North America,Wealth Management (HNW),Partner/Broker,Retail,20,67125.79
2025-03-01,2025,3,North America,Wealth Management (HNW),Partner/Broker,Retail,22,72350.98
2025-04-01,2025,4,North America,Wealth Management (HNW),Web Platform,SME,22,75683.19
2025-05-01,2025,5,North America,Wealth Management (HNW),Mobile App,Mass Affluent,20,65971.77
2025-06-01,2025,6,North America,Wealth Management (HNW),Mobile App,Retail,19,65878.77
2025-07-01,2025,7,North America,Wealth Management (HNW),Mobile App,Retail,21,73374.51
2025-08-01,2025,8,North America,Wealth Management (HNW),Web Platform,Retail,25,81443.35
2025-09-01,2025,9,North America,Wealth Management (HNW),Mobile App,Retail,22,73173.93
2025-10-01,2025,10,North America,Wealth Management (HNW),Mobile App,Mass Affluent,25,87561.77
2025-11-01,2025,11,North America,Wealth Management (HNW),Web Platform,SME,21,72208.12
2025-12-01,2025,12,North America,Wealth Management (HNW),Web Platform,Retail,23,80710.34
2023-01-01,2023,1,Europe,Personal Loan,Mobile App,Mass Affluent,379,54261.63
2023-02-01,2023,2,Europe,Personal Loan,Web Platform,Mass Affluent,449,70010.46
2023-03-01,2023,3,Europe,Personal Loan,Web Platform,Retail,501,70748.5
2023-04-01,2023,4,Europe,Personal Loan,Partner/Broker,Mass Affluent,554,80918.14
2023-05-01,2023,5,Europe,Personal Loan,Partner/Broker,Mass Affluent,427,60076.48
2023-06-01,2023,6,Europe,Personal Loan,Mobile App,Retail,495,74782.46
2023-07-01,2023,7,Europe,Personal Loan,Web Platform,SME,376,54592.03
2023-08-01,2023,8,Europe,Personal Loan,Web Platform,Mass Affluent,431,65214.37
2023-09-01,2023,9,Europe,Personal Loan,Web Platform,Retail,460,66382.36
2023-10-01,2023,10,Europe,Personal Loan,Partner/Broker,Retail,512,72636.52
2023-11-01,2023,11,Europe,Personal Loan,Web Platform,SME,453,64423.71
2023-12-01,2023,12,Europe,Personal Loan,Partner/Broker,Mass Affluent,481,68169.95
2024-01-01,2024,1,Europe,Personal Loan,Web Platform,Mass Affluent,485,73557.61
2024-02-01,2024,2,Europe,Personal Loan,Partner/Broker,Mass Affluent,485,67103.9
2024-03-01,2024,3,Europe,Personal Loan,Branch (Assisted),Mass Affluent,561,78827.38
2024-04-01,2024,4,Europe,Personal Loan,Partner/Broker,Mass Affluent,580,80017.94
2024-05-01,2024,5,Europe,Personal Loan,Mobile App,Retail,434,63049.74
2024-06-01,2024,6,Europe,Personal Loan,Web Platform,Mass Affluent,513,77546.69
2024-07-01,2024,7,Europe,Personal Loan,Web Platform,SME,417,59519.66
2024-08-01,2024,8,Europe,Personal Loan,Mobile App,SME,480,74014.79
2024-09-01,2024,9,Europe,Personal Loan,Web Platform,SME,475,67683.06
2024-10-01,2024,10,Europe,Personal Loan,Mobile App,Private/HNW,460,66803.15
2024-11-01,2024,11,Europe,Personal Loan,Mobile App,Retail,511,72647.31
2024-12-01,2024,12,Europe,Personal Loan,Web Platform,Mass Affluent,528,73775.92
2025-01-01,2025,1,Europe,Personal Loan,Mobile App,Retail,526,80983.6
2025-02-01,2025,2,Europe,Personal Loan,Mobile App,Private/HNW,517,71871.53
2025-03-01,2025,3,Europe,Personal Loan,Mobile App,SME,593,85594.71
2025-04-01,2025,4,Europe,Personal Loan,Mobile App,SME,614,91104.07
2025-05-01,2025,5,Europe,Personal Loan,Mobile App,Retail,564,84658.46
2025-06-01,2025,6,Europe,Personal Loan,Partner/Broker,SME,531,75706.47
2025-07-01,2025,7,Europe,Personal Loan,Partner/Broker,SME,452,65964.2
2025-08-01,2025,8,Europe,Personal Loan,Mobile App,Mass Affluent,535,82833.03
2025-09-01,2025,9,Europe,Personal Loan,Mobile App,SME,624,92788.46
2025-10-01,2025,10,Europe,Personal Loan,Mobile App,Retail,562,78970.08
2025-11-01,2025,11,Europe,Personal Loan,Partner/Broker,Retail,513,70432.35
2025-12-01,2025,12,Europe,Personal Loan,Mobile App,Retail,514,74715.44
2023-01-01,2023,1,Europe,Credit Card,Mobile App,Retail,803,49572.23
2023-02-01,2023,2,Europe,Credit Card,Branch (Assisted),Retail,722,48078.06
2023-03-01,2023,3,Europe,Credit Card,Mobile App,SME,887,59421.38
2023-04-01,2023,4,Europe,Credit Card,Mobile App,Retail,973,62039.71
2023-05-01,2023,5,Europe,Credit Card,Mobile App,SME,958,64033.96
2023-06-01,2023,6,Europe,Credit Card,Mobile App,Private/HNW,952,63188.44
2023-07-01,2023,7,Europe,Credit Card,Web Platform,Mass Affluent,1084,63599.76
2023-08-01,2023,8,Europe,Credit Card,Web Platform,Retail,1119,71505.79
2023-09-01,2023,9,Europe,Credit Card,Web Platform,Retail,1098,71457.38
2023-10-01,2023,10,Europe,Credit Card,Mobile App,Retail,882,55090.97
2023-11-01,2023,11,Europe,Credit Card,Web Platform,Retail,1238,77296.76
2023-12-01,2023,12,Europe,Credit Card,Partner/Broker,Retail,1348,82431.48
2024-01-01,2024,1,Europe,Credit Card,Partner/Broker,SME,945,61755.84
2024-02-01,2024,2,Europe,Credit Card,Mobile App,Retail,980,68022.56
2024-03-01,2024,3,Europe,Credit Card,Mobile App,Mass Affluent,1171,80867.84
2024-04-01,2024,4,Europe,Credit Card,Mobile App,Mass Affluent,1185,69804.49
2024-05-01,2024,5,Europe,Credit Card,Web Platform,Mass Affluent,1044,59023.23
2024-06-01,2024,6,Europe,Credit Card,Web Platform,Mass Affluent,1074,69425.5
2024-07-01,2024,7,Europe,Credit Card,Partner/Broker,Mass Affluent,1166,77468.29
2024-08-01,2024,8,Europe,Credit Card,Partner/Broker,Mass Affluent,1094,67999.01
2024-09-01,2024,9,Europe,Credit Card,Mobile App,SME,1080,72251.83
2024-10-01,2024,10,Europe,Credit Card,Mobile App,Retail,1179,72706.6
2024-11-01,2024,11,Europe,Credit Card,Mobile App,Retail,1387,91317.33
2024-12-01,2024,12,Europe,Credit Card,Web Platform,Retail,1535,101171.25
2025-01-01,2025,1,Europe,Credit Card,Web Platform,Retail,916,60135.84
2025-02-01,2025,2,Europe,Credit Card,Web Platform,Private/HNW,1050,71563.84
2025-03-01,2025,3,Europe,Credit Card,Branch (Assisted),Retail,1081,69479.54
2025-04-01,2025,4,Europe,Credit Card,Mobile App,SME,1263,81788.39
2025-05-01,2025,5,Europe,Credit Card,Mobile App,SME,1283,86821.69
2025-06-01,2025,6,Europe,Credit Card,Branch (Assisted),Private/HNW,1148,75071.48
2025-07-01,2025,7,Europe,Credit Card,Branch (Assisted),Retail,1196,77414.18
2025-08-01,2025,8,Europe,Credit Card,Mobile App,SME,1159,75914.95
2025-09-01,2025,9,Europe,Credit Card,Mobile App,Retail,1057,64459.38
2025-10-01,2025,10,Europe,Credit Card,Web Platform,Private/HNW,1130,68337.12
2025-11-01,2025,11,Europe,Credit Card,Partner/Broker,Mass Affluent,1593,100722.18
2025-12-01,2025,12,Europe,Credit Card,Mobile App,Private/HNW,1680,106015.66
2023-01-01,2023,1,Europe,Mortgage,Web Platform,Retail,50,58828.62
2023-02-01,2023,2,Europe,Mortgage,Mobile App,SME,58,69013.35
2023-03-01,2023,3,Europe,Mortgage,Web Platform,SME,70,82093.95
