Date,Region,Revenue_Target_USD
2024-02-01,LATAM,212572.16
2024-03-01,LATAM,232670.25
2024-04-01,LATAM,249269.85
2024-05-01,LATAM,230498.45
2024-06-01,LATAM,227524.29
2024-07-01,LATAM,205477.82
2024-08-01,LATAM,221703.48
2024-09-01,LATAM,217429.34
2024-10-01,LATAM,207698.9
2024-11-01,LATAM,246696.41
2024-12-01,LATAM,234035.94
2025-01-01,LATAM,239536.83
2025-02-01,LATAM,259189.25
2025-03-01,LATAM,252697.0
2025-04-01,LATAM,241365.16
2025-05-01,LATAM,274353.41
2025-06-01,LATAM,277061.47
2025-07-01,LATAM,275119.78
2025-08-01,LATAM,209096.02
2025-09-01,LATAM,216351.51
2025-10-01,LATAM,232441.19
2025-11-01,LATAM,271260.55
2025-12-01,LATAM,280064.74
